Ticket;Abrir;Tipo;Volumen;Símbolo;Precio;SL;TP;Cierre;Precio;Swap;Comisiones;Beneficio;Pips;"Duración de la operación en segundos"
216845884;"2025-04-07 01:27:00";sell;0.01;EURUSD;1.09826;0;0;"2025-04-07 03:50:48";1.09546;0;-0.04;2.8;28;8628
216863938;"2025-04-07 02:18:00";sell;0.02;EURUSD;1.09977;0;0;"2025-04-07 03:50:47";1.09541;0;-0.06;8.72;43.6;5567
214040508;"2025-03-27 03:31:47";sell;0.10;AUDUSD;0.62944;0.63395;0;"2025-03-28 03:12:17";0.62935;-0.01;-0.3;0.9;0.9;85230
214293119;"2025-03-28 03:11:55";sell;0.10;AUDUSD;0.62937;0.63395;0;"2025-03-28 03:12:17";0.62935;0;-0.3;0.2;0.2;22
214050126;"2025-03-27 05:08:48";sell;0.10;AUDUSD;0.62993;0.63445;0;"2025-03-28 03:11:55";0.62943;-0.01;-0.3;5;5;79387
214071522;"2025-03-27 08:57:07";sell;0.10;AUDUSD;0.62985;0.63445;0;"2025-03-28 03:11:54";0.62944;-0.01;-0.3;4.1;4.1;65687
214282512;"2025-03-28 00:09:07";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-28 00:54:41";0.63027;0;-0.3;1.7;1.7;2734
214282513;"2025-03-28 00:09:08";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-28 00:54:41";0.63027;0;-0.3;1.7;1.7;2733
214272788;"2025-03-27 22:21:06";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-28 00:05:00";0.63082;-0.01;-0.3;-3.8;-3.8;6234
214272867;"2025-03-27 22:21:19";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-28 00:05:00";0.63082;-0.01;-0.3;-3.8;-3.8;6221
214205835;"2025-03-27 17:42:01";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-27 22:01:00";0.62996;0;-0.3;4.8;4.8;15539
214205824;"2025-03-27 17:42:00";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-27 22:01:00";0.62995;0;-0.3;4.9;4.9;15540
214224272;"2025-03-27 18:34:59";sell;0.10;AUDUSD;0.63094;0.63545;0;"2025-03-27 19:49:37";0.63047;0;-0.3;4.7;4.7;4478
214224299;"2025-03-27 18:35:01";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 19:49:37";0.63047;0;-0.3;4.8;4.8;4476
214226087;"2025-03-27 18:41:03";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-27 18:52:57";0.63097;0;-0.3;4.7;4.7;714
214072194;"2025-03-27 09:00:53";sell;0.10;AUDUSD;0.63047;0.63495;0;"2025-03-27 16:25:02";0.62995;0;-0.3;5.2;5.2;26649
214072191;"2025-03-27 09:00:52";sell;0.10;AUDUSD;0.63045;0.63495;0;"2025-03-27 16:25:02";0.62995;0;-0.3;5;5;26650
214129768;"2025-03-27 14:03:09";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 16:11:57";0.63045;0;-0.3;5;5;7728
214129780;"2025-03-27 14:03:11";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 16:11:57";0.63045;0;-0.3;5;5;7726
214152865;"2025-03-27 15:38:56";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-27 15:51:16";0.63099;0;-0.3;4.5;4.5;740
214131249;"2025-03-27 14:07:07";sell;0.10;AUDUSD;0.63142;0.63595;0;"2025-03-27 15:28:59";0.631;0;-0.3;4.2;4.2;4912
214098628;"2025-03-27 11:48:33";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 13:17:22";0.63049;0;-0.3;4.6;4.6;5329
214098632;"2025-03-27 11:48:34";sell;0.10;AUDUSD;0.63096;0.63545;0;"2025-03-27 13:17:22";0.63049;0;-0.3;4.7;4.7;5328
214100995;"2025-03-27 12:00:17";sell;0.10;AUDUSD;0.63145;0.63595;0;"2025-03-27 12:25:56";0.63099;0;-0.3;4.6;4.6;1539
214072720;"2025-03-27 09:04:54";sell;0.10;AUDUSD;0.63097;0.63545;0;"2025-03-27 11:06:52";0.63047;0;-0.3;5;5;7318
214072723;"2025-03-27 09:04:55";sell;0.10;AUDUSD;0.63096;0.63545;0;"2025-03-27 11:06:52";0.63046;0;-0.3;5;5;7317
214074448;"2025-03-27 09:16:53";sell;0.10;AUDUSD;0.63148;0.63595;0;"2025-03-27 10:24:37";0.63097;0;-0.3;5.1;5.1;4064
214051491;"2025-03-27 05:20:42";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-27 08:57:07";0.62995;0;-0.3;4.9;4.9;12985
214056120;"2025-03-27 06:00:12";sell;0.10;AUDUSD;0.63042;0.63495;0;"2025-03-27 08:57:07";0.62995;0;-0.3;4.7;4.7;10615
214057006;"2025-03-27 06:12:50";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 08:54:04";0.63048;0;-0.3;4.7;4.7;9674
214070568;"2025-03-27 08:52:07";sell;0.10;AUDUSD;0.63093;0.63545;0;"2025-03-27 08:54:04";0.63048;0;-0.3;4.5;4.5;117
214062236;"2025-03-27 07:21:18";sell;0.10;AUDUSD;0.63145;0.63595;0;"2025-03-27 08:52:07";0.63098;0;-0.3;4.7;4.7;5449
214052835;"2025-03-27 05:34:46";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-27 06:00:12";0.63047;0;-0.3;4.8;4.8;1526
214030976;"2025-03-27 01:20:53";buy;0.10;AUDUSD;0.6285;0.62393;0;"2025-03-27 03:06:55";0.62896;0;-0.3;4.6;4.6;6362
214034575;"2025-03-27 02:14:06";buy;0.10;AUDUSD;0.62852;0.62393;0;"2025-03-27 03:06:54";0.62896;0;-0.3;4.4;4.4;3168
214034129;"2025-03-27 02:07:31";buy;0.10;AUDUSD;0.62797;0.62343;0;"2025-03-27 02:14:06";0.62846;0;-0.3;4.9;4.9;395
214029336;"2025-03-27 01:05:35";sell;0.10;AUDUSD;0.62956;0.63395;0;"2025-03-27 01:15:01";0.629;0;-0.3;5.6;5.6;566
214028608;"2025-03-27 00:43:55";sell;0.10;AUDUSD;0.62948;0.63395;0;"2025-03-27 01:00:02";0.62942;0;-0.3;0.6;0.6;967
214023025;"2025-03-26 23:12:32";sell;0.10;AUDUSD;0.62943;0.63395;0;"2025-03-27 00:19:26";0.62926;-1.03;-0.3;1.7;1.7;4014
214026998;"2025-03-27 00:18:55";sell;0.10;AUDUSD;0.62923;0.63395;0;"2025-03-27 00:19:25";0.62926;0;-0.3;-0.3;-0.3;30
214026922;"2025-03-27 00:17:10";sell;0.10;AUDUSD;0.62996;0.63445;0;"2025-03-27 00:18:55";0.62966;0;-0.3;3;3;105
214014155;"2025-03-26 22:10:40";buy;0.10;AUDUSD;0.6285;0.62393;0;"2025-03-26 22:51:36";0.62894;0;-0.3;4.4;4.4;2456
213998538;"2025-03-26 20:41:30";sell;0.10;AUDUSD;0.62945;0.63395;0;"2025-03-26 21:48:17";0.62899;0;-0.3;4.6;4.6;4007
213782216;"2025-03-26 04:25:03";sell;0.10;AUDUSD;0.62949;0.63395;0;"2025-03-26 20:31:38";0.62901;0;-0.3;4.8;4.8;57995
213992043;"2025-03-26 20:18:48";sell;0.10;AUDUSD;0.62939;0.63395;0;"2025-03-26 20:31:38";0.62901;0;-0.3;3.8;3.8;770
213784186;"2025-03-26 04:43:14";sell;0.10;AUDUSD;0.62993;0.63445;0;"2025-03-26 20:18:48";0.62944;0;-0.3;4.9;4.9;56134
213972380;"2025-03-26 18:56:14";sell;0.10;AUDUSD;0.62994;0.63445;0;"2025-03-26 20:18:48";0.62946;0;-0.3;4.8;4.8;4954
213979459;"2025-03-26 19:25:29";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-26 20:15:12";0.62998;0;-0.3;4.6;4.6;2983
213979465;"2025-03-26 19:25:30";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-26 20:15:11";0.62998;0;-0.3;4.6;4.6;2981
213973466;"2025-03-26 18:58:07";sell;0.10;AUDUSD;0.63046;0.63495;0;"2025-03-26 19:14:28";0.63;0;-0.3;4.6;4.6;981
213973469;"2025-03-26 18:58:08";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-26 19:14:28";0.63;0;-0.3;4.4;4.4;980
213971125;"2025-03-26 18:52:28";sell;0.10;AUDUSD;0.6304;0.63495;0;"2025-03-26 18:56:14";0.62997;0;-0.3;4.3;4.3;226
213791924;"2025-03-26 05:45:07";sell;0.10;AUDUSD;0.63043;0.63495;0;"2025-03-26 18:56:14";0.62998;0;-0.3;4.5;4.5;47467
213793646;"2025-03-26 06:04:03";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-26 18:52:27";0.63046;0;-0.3;4.9;4.9;46104
213904950;"2025-03-26 16:20:25";sell;0.10;AUDUSD;0.6309;0.63545;0;"2025-03-26 18:52:27";0.63046;0;-0.3;4.4;4.4;9122
213956744;"2025-03-26 18:03:02";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-26 18:23:43";0.63099;0;-0.3;4.5;4.5;1241
213956721;"2025-03-26 18:02:57";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-26 18:23:43";0.63098;0;-0.3;4.6;4.6;1246
213915496;"2025-03-26 16:38:44";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-26 16:44:03";0.63099;0;-0.3;4.5;4.5;319
213915538;"2025-03-26 16:38:46";sell;0.10;AUDUSD;0.63145;0.63595;0;"2025-03-26 16:44:02";0.63099;0;-0.3;4.6;4.6;316
213807737;"2025-03-26 08:37:08";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-26 16:20:24";0.63095;0;-0.3;4.9;4.9;27796
213835849;"2025-03-26 11:14:53";sell;0.10;AUDUSD;0.63143;0.63595;0;"2025-03-26 16:20:24";0.63098;0;-0.3;4.5;4.5;18331
213893683;"2025-03-26 15:44:01";sell;0.10;AUDUSD;0.63195;0.63645;0;"2025-03-26 16:00:43";0.63148;0;-0.3;4.7;4.7;1002
213893684;"2025-03-26 15:44:02";sell;0.10;AUDUSD;0.63199;0.63645;0;"2025-03-26 16:00:42";0.63148;0;-0.3;5.1;5.1;1000
213842974;"2025-03-26 11:47:26";sell;0.10;AUDUSD;0.63195;0.63645;0;"2025-03-26 15:09:56";0.63148;0;-0.3;4.7;4.7;12150
213883587;"2025-03-26 15:01:07";sell;0.10;AUDUSD;0.63192;0.63645;0;"2025-03-26 15:09:55";0.63148;0;-0.3;4.4;4.4;528
213850436;"2025-03-26 12:16:51";sell;0.10;AUDUSD;0.63245;0.63695;0;"2025-03-26 15:01:06";0.63196;0;-0.3;4.9;4.9;9855
213878015;"2025-03-26 14:30:18";sell;0.10;AUDUSD;0.63243;0.63695;0;"2025-03-26 15:01:06";0.63196;0;-0.3;4.7;4.7;1848
213864590;"2025-03-26 13:21:34";sell;0.10;AUDUSD;0.63296;0.63745;0;"2025-03-26 14:30:18";0.63248;0;-0.3;4.8;4.8;4124
213820856;"2025-03-26 10:10:43";sell;0.10;AUDUSD;0.63198;0.63645;0;"2025-03-26 11:14:53";0.63149;0;-0.3;4.9;4.9;3850
213781577;"2025-03-26 04:18:16";sell;0.10;AUDUSD;0.62943;0.63395;0;"2025-03-26 04:21:42";0.62899;0;-0.3;4.4;4.4;206
213780225;"2025-03-26 04:06:57";buy;0.10;AUDUSD;0.6285;0.62393;0;"2025-03-26 04:08:34";0.62892;0;-0.3;4.2;4.2;97
213780514;"2025-03-26 04:08:00";buy;0.10;AUDUSD;0.6285;0.62393;0;"2025-03-26 04:08:34";0.62892;0;-0.3;4.2;4.2;34
213780377;"2025-03-26 04:07:21";buy;0.10;AUDUSD;0.62798;0.62343;0;"2025-03-26 04:07:59";0.62847;0;-0.3;4.9;4.9;38
213778255;"2025-03-26 03:50:05";sell;0.10;AUDUSD;0.62942;0.63395;0;"2025-03-26 03:58:02";0.629;0;-0.3;4.2;4.2;477
213602047;"2025-03-25 12:36:42";sell;0.10;AUDUSD;0.62944;0.63395;0;"2025-03-26 03:58:02";0.629;-0.34;-0.3;4.4;4.4;55280
213605211;"2025-03-25 12:50:32";sell;0.10;AUDUSD;0.62995;0.63445;0;"2025-03-26 03:50:04";0.62948;-0.34;-0.3;4.7;4.7;53972
213751630;"2025-03-25 21:44:31";sell;0.10;AUDUSD;0.62993;0.63445;0;"2025-03-26 03:50:04";0.62948;-0.34;-0.3;4.5;4.5;21933
213776174;"2025-03-26 03:31:36";sell;0.10;AUDUSD;0.63045;0.63495;0;"2025-03-26 03:39:01";0.62997;0;-0.3;4.8;4.8;445
213776178;"2025-03-26 03:31:40";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-26 03:39:01";0.62997;0;-0.3;4.7;4.7;441
213767862;"2025-03-26 01:04:12";sell;0.10;AUDUSD;0.63047;0.63495;0;"2025-03-26 03:30:10";0.63001;0;-0.3;4.6;4.6;8758
213767863;"2025-03-26 01:04:13";sell;0.10;AUDUSD;0.63046;0.63495;0;"2025-03-26 03:30:10";0.63002;0;-0.3;4.4;4.4;8757
213611677;"2025-03-25 13:17:02";sell;0.10;AUDUSD;0.63044;0.63495;0;"2025-03-25 21:44:31";0.62999;0;-0.3;4.5;4.5;30449
213683297;"2025-03-25 17:15:16";sell;0.10;AUDUSD;0.63045;0.63495;0;"2025-03-25 21:44:30";0.62999;0;-0.3;4.6;4.6;16154
213734266;"2025-03-25 20:07:48";sell;0.10;AUDUSD;0.63096;0.63545;0;"2025-03-25 20:25:48";0.63049;0;-0.3;4.7;4.7;1080
213734237;"2025-03-25 20:07:39";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-25 20:25:48";0.63049;0;-0.3;4.6;4.6;1089
213687131;"2025-03-25 17:22:54";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-25 19:55:56";0.63048;0;-0.3;4.7;4.7;9182
213687040;"2025-03-25 17:22:42";sell;0.10;AUDUSD;0.63095;0.63545;0;"2025-03-25 19:55:56";0.63048;0;-0.3;4.7;4.7;9194
213695662;"2025-03-25 17:39:54";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-25 18:18:29";0.63098;0;-0.3;4.6;4.6;2315
213695667;"2025-03-25 17:39:56";sell;0.10;AUDUSD;0.63144;0.63595;0;"2025-03-25 18:18:28";0.63099;0;-0.3;4.5;4.5;2312
213617801;"2025-03-25 13:43:59";sell;0.10;AUDUSD;0.63096;0.63545;0;"2025-03-25 17:15:16";0.63048;0;-0.3;4.8;4.8;12677
213679320;"2025-03-25 17:07:09";sell;0.10;AUDUSD;0.63089;0.63545;0;"2025-03-25 17:15:15";0.63047;0;-0.3;4.2;4.2;486
213619883;"2025-03-25 13:55:09";sell;0.10;AUDUSD;0.63143;0.63595;0;"2025-03-25 17:07:08";0.631;0;-0.3;4.3;4.3;11519
213676908;"2025-03-25 17:04:36";sell;0.10;AUDUSD;0.6314;0.63595;0;"2025-03-25 17:07:08";0.63099;0;-0.3;4.1;4.1;152
213626179;"2025-03-25 14:30:01";sell;0.10;AUDUSD;0.63194;0.63645;0;"2025-03-25 17:04:36";0.63144;0;-0.3;5;5;9275
213670179;"2025-03-25 16:53:19";sell;0.10;AUDUSD;0.63194;0.63645;0;"2025-03-25 17:04:35";0.63144;0;-0.3;5;5;676
213664202;"2025-03-25 16:41:27";sell;0.10;AUDUSD;0.63244;0.63695;0;"2025-03-25 16:53:18";0.63197;0;-0.3;4.7;4.7;711
213571417;"2025-03-25 10:23:47";buy;0.10;AUDUSD;0.62848;0.62393;0;"2025-03-25 12:18:17";0.62895;0;-0.3;4.7;4.7;6870
213577155;"2025-03-25 10:52:01";buy;0.10;AUDUSD;0.6285;0.62393;0;"2025-03-25 12:18:16";0.62895;0;-0.3;4.5;4.5;5175
213581427;"2025-03-25 11:08:30";buy;0.10;AUDUSD;0.62799;0.62343;0;"2025-03-25 11:33:32";0.62844;0;-0.3;4.5;4.5;1502
213573397;"2025-03-25 10:32:05";buy;0.10;AUDUSD;0.62799;0.62343;0;"2025-03-25 10:52:00";0.62845;0;-0.3;4.6;4.6;1195
213543036;"2025-03-25 05:45:10";buy;0.10;AUDUSD;0.62851;0.62393;0;"2025-03-25 07:06:40";0.62894;0;-0.3;4.3;4.3;4890
213535611;"2025-03-25 04:20:01";sell;0.10;AUDUSD;0.62941;0.63395;0;"2025-03-25 05:03:23";0.629;0;-0.3;4.1;4.1;2602
213445029;"2025-03-24 17:57:56";buy;0.10;AUDUSD;0.62852;0.62398;0;"2025-03-25 04:12:26";0.62894;-0.46;-0.3;4.2;4.2;36870
213498315;"2025-03-24 21:44:05";buy;0.10;AUDUSD;0.62852;0.62393;0;"2025-03-25 04:12:26";0.62894;-0.46;-0.3;4.2;4.2;23301
213463062;"2025-03-24 18:57:05";buy;0.10;AUDUSD;0.62802;0.62348;0;"2025-03-24 21:44:04";0.62848;0;-0.3;4.6;4.6;10019
213496987;"2025-03-24 21:40:55";buy;0.10;AUDUSD;0.62797;0.62343;0;"2025-03-24 21:44:04";0.62844;0;-0.3;4.7;4.7;189
213470984;"2025-03-24 19:30:13";buy;0.10;AUDUSD;0.62755;0.62298;0;"2025-03-24 21:40:55";0.62791;0;-0.3;3.6;3.6;7842
213476691;"2025-03-24 19:52:26";buy;0.10;AUDUSD;0.62736;0.62293;0;"2025-03-24 21:40:54";0.62792;0;-0.3;5.6;5.6;6508
213476617;"2025-03-24 19:51:48";buy;0.10;AUDUSD;0.6273;0.62293;0;"2025-03-24 21:40:50";0.62775;0;-0.3;4.5;4.5;6542
213476560;"2025-03-24 19:51:21";buy;0.10;AUDUSD;0.62732;0.62293;0;"2025-03-24 21:40:46";0.6278;0;-0.3;4.8;4.8;6565
213476552;"2025-03-24 19:51:18";buy;0.10;AUDUSD;0.62725;0.62293;0;"2025-03-24 21:40:38";0.62789;0;-0.3;6.4;6.4;6560
213484013;"2025-03-24 20:36:18";buy;0.10;AUDUSD;0.62698;0.62243;0;"2025-03-24 21:39:49";0.62746;0;-0.3;4.8;4.8;3811
213474460;"2025-03-24 19:41:57";buy;0.10;AUDUSD;0.62704;0.62248;0;"2025-03-24 20:30:34";0.62745;0;-0.3;4.1;4.1;2917
213439778;"2025-03-24 17:46:43";buy;0.10;AUDUSD;0.62856;0.62398;0;"2025-03-24 17:55:04";0.62899;0;-0.3;4.3;4.3;501
213427458;"2025-03-24 17:25:33";sell;0.10;AUDUSD;0.6295;0.634;0;"2025-03-24 17:31:38";0.62905;0;-0.3;4.5;4.5;365
213407155;"2025-03-24 16:45:57";buy;0.10;AUDUSD;0.62855;0.62398;0;"2025-03-24 17:18:01";0.62899;0;-0.3;4.4;4.4;1924
213419722;"2025-03-24 17:09:30";buy;0.10;AUDUSD;0.62852;0.62398;0;"2025-03-24 17:18:01";0.62899;0;-0.3;4.7;4.7;511
213415098;"2025-03-24 16:59:54";buy;0.10;AUDUSD;0.62804;0.62348;0;"2025-03-24 17:09:29";0.62848;0;-0.3;4.4;4.4;575
213379561;"2025-03-24 15:17:48";buy;0.10;AUDUSD;0.62852;0.62398;0;"2025-03-24 16:30:09";0.62897;0;-0.3;4.5;4.5;4341
213322246;"2025-03-24 11:03:10";sell;0.10;AUDUSD;0.62949;0.634;0;"2025-03-24 15:11:10";0.62902;0;-0.3;4.7;4.7;14880
213374318;"2025-03-24 14:57:28";sell;0.10;AUDUSD;0.62949;0.634;0;"2025-03-24 15:11:10";0.62902;0;-0.3;4.7;4.7;822
213364905;"2025-03-24 14:01:45";sell;0.10;AUDUSD;0.62998;0.6345;0;"2025-03-24 14:57:28";0.62953;0;-0.3;4.5;4.5;3343
213353490;"2025-03-24 13:05:56";sell;0.10;AUDUSD;0.63002;0.6345;0;"2025-03-24 14:57:28";0.62953;0;-0.3;4.9;4.9;6692
213360261;"2025-03-24 13:33:56";sell;0.10;AUDUSD;0.63051;0.635;0;"2025-03-24 14:01:45";0.63003;0;-0.3;4.8;4.8;1669
213282275;"2025-03-24 04:31:07";buy;0.10;AUDUSD;0.62855;0.62398;0;"2025-03-24 09:44:04";0.62898;0;-0.3;4.3;4.3;18777
213291140;"2025-03-24 06:16:46";buy;0.10;AUDUSD;0.62856;0.62398;0;"2025-03-24 09:44:03";0.62899;0;-0.3;4.3;4.3;12437
213292414;"2025-03-24 06:32:13";buy;0.10;AUDUSD;0.62802;0.62348;0;"2025-03-24 09:05:56";0.62849;0;-0.3;4.7;4.7;9223
213300380;"2025-03-24 08:37:11";buy;0.10;AUDUSD;0.62803;0.62348;0;"2025-03-24 09:05:56";0.62849;0;-0.3;4.6;4.6;1725
